IMAGE_index, class, x, y
0000003, 0, 0.7109375, 0.2734375
0000003, 3, 0.2734375, 0.6796875
0000004, 0, 0.1484375, 0.1796875
0000004, 3, 0.3359375, 0.7578125
0000004, 5, 0.0234375, 0.5859375
0000004, 9, 0.5546875, 0.2890625
0000011, 0, 0.7109375, 0.7578125
0000011, 4, 0.1015625, 0.2578125
0000018, 0, 0.7734375, 0.6015625
0000018, 1, 0.5390625, 0.6640625
0000023, 0, 0.7109375, 0.0703125
0000023, 1, 0.4453125, 0.2578125
0000023, 2, 0.4921875, 0.5390625
0000023, 4, 0.1796875, 0.4921875
0000032, 0, 0.7109375, 0.4609375
0000032, 2, 0.2734375, 0.0078125
0000032, 5, 0.0390625, 0.3046875
0000032, 8, 0.7734375, 0.0546875
0000035, 0, 0.0078125, 0.7734375
0000035, 3, 0.4296875, 0.0859375
0000038, 0, 0.7421875, 0.5078125
0000038, 4, 0.3671875, 0.3828125
0000041, 0, 0.5703125, 0.6796875
0000041, 0, 0.1796875, 0.7734375
0000041, 1, 0.2890625, 0.5390625
0000041, 5, 0.5390625, 0.2265625
0000042, 0, 0.4140625, 0.5078125
0000042, 1, 0.0078125, 0.4609375
0000042, 3, 0.0234375, 0.1640625
0000042, 4, 0.7578125, 0.2109375
0000043, 0, 0.5390625, 0.0234375
0000043, 2, 0.3046875, 0.1484375
0000044, 0, 0.6328125, 0.4765625
0000044, 2, 0.5078125, 0.1328125
0000045, 0, 0.3046875, 0.3515625
0000045, 3, 0.4765625, 0.5703125
0000045, 8, 0.0546875, 0.6953125
0000045, 9, 0.7109375, 0.3203125
0000047, 0, 0.1640625, 0.1171875
0000047, 5, 0.6484375, 0.0859375
0000048, 0, 0.0703125, 0.1640625
0000048, 2, 0.2265625, 0.5546875
0000048, 3, 0.0078125, 0.4296875
0000048, 6, 0.4453125, 0.3046875
0000052, 0, 0.2265625, 0.5078125
0000052, 6, 0.6171875, 0.0703125
0000055, 0, 0.6171875, 0.2890625
0000055, 6, 0.2421875, 0.0703125
0000060, 0, 0.1796875, 0.4765625
0000060, 1, 0.4765625, 0.0078125
0000060, 2, 0.2421875, 0.1484375
0000060, 4, 0.4921875, 0.5546875
0000063, 0, 0.6796875, 0.3828125
0000063, 5, 0.4765625, 0.0703125
0000063, 7, 0.5234375, 0.6953125
0000064, 0, 0.5390625, 0.0859375
0000064, 9, 0.5546875, 0.4921875
0000065, 0, 0.5390625, 0.0703125
0000065, 0, 0.6484375, 0.7421875
0000074, 0, 0.1171875, 0.1953125
0000074, 5, 0.7734375, 0.5234375
0000074, 7, 0.3359375, 0.6796875
0000074, 8, 0.6484375, 0.7421875
0000078, 0, 0.5546875, 0.2109375
0000078, 6, 0.1171875, 0.1640625
0000079, 0, 0.1328125, 0.4609375
0000079, 1, 0.7734375, 0.1171875
0000079, 6, 0.5859375, 0.6953125
0000080, 0, 0.1328125, 0.2421875
0000080, 0, 0.7578125, 0.4140625
0000080, 0, 0.3671875, 0.6640625
0000081, 0, 0.4609375, 0.0078125
0000081, 1, 0.4921875, 0.4921875
0000081, 3, 0.1640625, 0.5234375
0000081, 9, 0.0078125, 0.2890625
0000093, 0, 0.6328125, 0.6953125
0000093, 1, 0.4765625, 0.0703125
0000096, 0, 0.4609375, 0.1640625
0000096, 2, 0.0859375, 0.6484375
0000096, 7, 0.6953125, 0.3828125
0000112, 0, 0.0546875, 0.5234375
0000112, 4, 0.2265625, 0.2578125
0000115, 0, 0.2109375, 0.3671875
0000115, 2, 0.6171875, 0.5234375
0000115, 2, 0.3828125, 0.7734375
0000121, 0, 0.6015625, 0.1015625
0000121, 1, 0.6953125, 0.5078125
0000121, 4, 0.0703125, 0.1953125
0000126, 0, 0.7421875, 0.6328125
0000126, 2, 0.4765625, 0.6484375
0000140, 0, 0.5078125, 0.0078125
0000140, 0, 0.2265625, 0.0703125
0000140, 0, 0.7734375, 0.1640625
0000140, 3, 0.3515625, 0.6640625
0000141, 0, 0.6015625, 0.6171875
0000141, 2, 0.5390625, 0.3515625
0000141, 5, 0.3046875, 0.3828125
0000141, 7, 0.0234375, 0.7421875
0000143, 0, 0.2890625, 0.0234375
0000143, 6, 0.2109375, 0.6171875
0000147, 0, 0.0234375, 0.4921875
0000147, 1, 0.7265625, 0.3203125
0000150, 0, 0.1171875, 0.4296875
0000150, 1, 0.3984375, 0.4453125
0000150, 3, 0.3984375, 0.2265625
0000150, 4, 0.1796875, 0.6640625
0000152, 0, 0.7734375, 0.5859375
0000152, 9, 0.3828125, 0.3984375
0000180, 0, 0.1484375, 0.5703125
0000180, 3, 0.3984375, 0.3828125
0000180, 4, 0.4140625, 0.6484375
0000180, 9, 0.0546875, 0.1484375
0000184, 0, 0.3515625, 0.6953125
0000184, 2, 0.7265625, 0.3828125
0000184, 6, 0.1953125, 0.0078125
0000184, 6, 0.0078125, 0.4140625
0000191, 0, 0.5703125, 0.6171875
0000191, 5, 0.3515625, 0.5390625
0000191, 6, 0.1328125, 0.1015625
0000201, 0, 0.4140625, 0.6640625
0000201, 4, 0.5390625, 0.3984375
0000208, 0, 0.7109375, 0.4140625
0000208, 1, 0.5546875, 0.7421875
0000220, 0, 0.0234375, 0.7265625
0000220, 1, 0.3203125, 0.6171875
0000220, 2, 0.1015625, 0.2109375
0000220, 8, 0.5546875, 0.4765625
0000238, 0, 0.6015625, 0.4765625
0000238, 8, 0.7265625, 0.2109375
0000239, 0, 0.6171875, 0.3046875
0000239, 4, 0.0703125, 0.1640625
0000239, 6, 0.0078125, 0.6015625
0000239, 9, 0.6640625, 0.6015625
0000245, 0, 0.7578125, 0.3671875
0000245, 0, 0.1171875, 0.7578125
0000245, 4, 0.6015625, 0.0859375
0000245, 8, 0.2578125, 0.3671875
0000249, 0, 0.3828125, 0.4921875
0000249, 0, 0.1015625, 0.5078125
0000249, 3, 0.6484375, 0.6328125
0000249, 5, 0.1640625, 0.2109375
0000254, 0, 0.6015625, 0.4296875
0000254, 7, 0.2421875, 0.0078125
0000257, 0, 0.1015625, 0.5078125
0000257, 9, 0.1328125, 0.2109375
0000259, 0, 0.7421875, 0.5859375
0000259, 4, 0.2421875, 0.2578125
0000259, 4, 0.5859375, 0.3203125
0000259, 8, 0.2421875, 0.6796875
0000261, 0, 0.6171875, 0.0078125
0000261, 0, 0.2421875, 0.3515625
0000264, 0, 0.3046875, 0.0234375
0000264, 4, 0.7734375, 0.2265625
0000265, 0, 0.0859375, 0.3046875
0000265, 0, 0.7421875, 0.4609375
0000267, 0, 0.2421875, 0.1015625
0000267, 8, 0.7421875, 0.0078125
0000271, 0, 0.6484375, 0.3359375
0000271, 2, 0.4921875, 0.0390625
0000271, 5, 0.2578125, 0.3671875
0000275, 0, 0.3359375, 0.4921875
0000275, 6, 0.6328125, 0.0546875
0000277, 0, 0.6015625, 0.1015625
0000277, 3, 0.3515625, 0.7109375
0000290, 0, 0.3828125, 0.2421875
0000290, 1, 0.0703125, 0.6796875
0000290, 1, 0.3046875, 0.6796875
0000290, 6, 0.7421875, 0.3828125
0000295, 0, 0.1484375, 0.1953125
0000295, 0, 0.5859375, 0.3515625
0000302, 0, 0.1953125, 0.1171875
0000302, 4, 0.0234375, 0.6640625
0000302, 6, 0.7265625, 0.6640625
0000306, 0, 0.3515625, 0.2734375
0000306, 7, 0.1328125, 0.6640625
0000306, 9, 0.1953125, 0.0234375
0000306, 9, 0.7578125, 0.3203125
0000315, 0, 0.3203125, 0.2265625
0000315, 0, 0.3515625, 0.5234375
0000315, 2, 0.6015625, 0.4609375
0000315, 4, 0.0546875, 0.3984375
0000318, 0, 0.6953125, 0.5546875
0000318, 5, 0.0703125, 0.4921875
0000318, 9, 0.6953125, 0.2578125
0000324, 0, 0.3828125, 0.0390625
0000324, 2, 0.4296875, 0.4140625
0000324, 3, 0.1171875, 0.6796875
0000324, 4, 0.7421875, 0.1015625
0000339, 0, 0.2265625, 0.7734375
0000339, 5, 0.7109375, 0.2265625
0000339, 6, 0.1484375, 0.1796875
0000339, 7, 0.4609375, 0.1015625
0000346, 0, 0.2265625, 0.2421875
0000346, 3, 0.2109375, 0.4921875
0000346, 8, 0.5234375, 0.6328125
0000358, 0, 0.6328125, 0.2421875
0000358, 1, 0.0390625, 0.6328125
0000369, 0, 0.6015625, 0.2421875
0000369, 0, 0.6484375, 0.7265625
0000369, 7, 0.3515625, 0.4765625
0000387, 0, 0.3203125, 0.2734375
0000387, 0, 0.7109375, 0.7265625
0000387, 2, 0.7421875, 0.3203125
0000397, 0, 0.7265625, 0.1328125
0000397, 0, 0.1796875, 0.3671875
0000399, 0, 0.1171875, 0.3046875
0000399, 1, 0.0859375, 0.0234375
0000399, 8, 0.4296875, 0.3515625
0000403, 0, 0.5859375, 0.2578125
0000403, 2, 0.0703125, 0.1171875
0000403, 2, 0.0078125, 0.7421875
0000403, 6, 0.7421875, 0.6171875
0000404, 0, 0.0234375, 0.7109375
0000404, 6, 0.7265625, 0.3203125
0000404, 7, 0.5546875, 0.5859375
0000404, 9, 0.2265625, 0.2578125
0000418, 0, 0.1640625, 0.4921875
0000418, 7, 0.5703125, 0.2265625
0000418, 8, 0.4140625, 0.7734375
0000420, 0, 0.4765625, 0.7109375
0000420, 2, 0.1640625, 0.4453125
0000420, 8, 0.6796875, 0.1328125
0000420, 8, 0.3515625, 0.1484375
0000422, 0, 0.1640625, 0.7109375
0000422, 3, 0.6328125, 0.4609375
0000422, 6, 0.6953125, 0.1640625
0000422, 8, 0.2578125, 0.1015625
0000430, 0, 0.3359375, 0.6953125
0000430, 4, 0.1796875, 0.0078125
0000430, 5, 0.0546875, 0.5546875
0000430, 9, 0.2734375, 0.4296875
0000435, 0, 0.5078125, 0.3828125
0000435, 5, 0.5859375, 0.6328125
0000441, 0, 0.1484375, 0.5390625
0000441, 9, 0.4921875, 0.3203125
0000445, 0, 0.6171875, 0.3671875
0000445, 7, 0.1015625, 0.1171875
0000458, 0, 0.6328125, 0.1796875
0000458, 0, 0.3515625, 0.4296875
0000458, 8, 0.0390625, 0.6484375
0000458, 9, 0.6171875, 0.5234375
0000461, 0, 0.6484375, 0.7421875
0000461, 6, 0.0390625, 0.0078125
0000462, 0, 0.6484375, 0.2109375
0000462, 4, 0.2265625, 0.0390625
0000462, 5, 0.3359375, 0.5703125
0000470, 0, 0.4921875, 0.5078125
0000470, 4, 0.6171875, 0.7109375
0000470, 4, 0.2109375, 0.7421875
0000470, 5, 0.3359375, 0.1796875
0000492, 0, 0.0078125, 0.7109375
0000492, 7, 0.3828125, 0.4609375
0000497, 0, 0.1171875, 0.7734375
0000497, 3, 0.0859375, 0.1484375
0000499, 0, 0.6796875, 0.0390625
0000499, 8, 0.3046875, 0.7578125
0000501, 0, 0.7265625, 0.6484375
0000501, 2, 0.3359375, 0.4296875
0000501, 3, 0.2421875, 0.0703125
0000501, 4, 0.4765625, 0.1640625
0000516, 0, 0.0078125, 0.0078125
0000516, 0, 0.5234375, 0.4453125
0000516, 0, 0.1015625, 0.4765625
0000516, 5, 0.7109375, 0.6953125
0000530, 0, 0.7265625, 0.0546875
0000530, 2, 0.3359375, 0.6328125
0000530, 6, 0.2734375, 0.1640625
0000530, 6, 0.7734375, 0.4140625
0000533, 0, 0.7265625, 0.1484375
0000533, 0, 0.3984375, 0.3671875
0000533, 5, 0.5546875, 0.5859375
0000533, 9, 0.1171875, 0.2421875
0000534, 0, 0.3671875, 0.2109375
0000534, 0, 0.7578125, 0.2890625
0000534, 0, 0.3671875, 0.5859375
0000534, 8, 0.0390625, 0.4609375
0000535, 0, 0.6796875, 0.1015625
0000535, 0, 0.4921875, 0.3515625
0000535, 0, 0.3046875, 0.7421875
0000535, 3, 0.2890625, 0.1328125
0000536, 0, 0.6484375, 0.7421875
0000536, 8, 0.4765625, 0.2734375
0000544, 0, 0.1953125, 0.1328125
0000544, 0, 0.0078125, 0.6328125
0000544, 1, 0.2578125, 0.6328125
0000544, 9, 0.4296875, 0.0390625
0000545, 0, 0.3359375, 0.3671875
0000545, 1, 0.6640625, 0.2578125
0000545, 2, 0.3515625, 0.1484375
0000545, 5, 0.2265625, 0.7421875
0000550, 0, 0.0390625, 0.2265625
0000550, 1, 0.6484375, 0.4140625
0000550, 8, 0.4609375, 0.0390625
0000556, 0, 0.3203125, 0.3359375
0000556, 0, 0.3203125, 0.6171875
0000556, 3, 0.0546875, 0.4296875
0000556, 4, 0.0390625, 0.1328125
0000558, 0, 0.7109375, 0.4609375
0000558, 2, 0.0703125, 0.5078125
0000558, 2, 0.7734375, 0.7578125
0000558, 6, 0.3515625, 0.7578125
0000561, 0, 0.7578125, 0.4453125
0000561, 3, 0.5390625, 0.3671875
0000561, 7, 0.1328125, 0.5390625
0000562, 0, 0.1640625, 0.0078125
0000562, 8, 0.6328125, 0.7734375
0000573, 0, 0.5078125, 0.2421875
0000573, 2, 0.0234375, 0.1015625
0000573, 2, 0.2734375, 0.7578125
0000574, 0, 0.3359375, 0.6640625
0000574, 4, 0.1640625, 0.1953125
0000586, 0, 0.4296875, 0.0546875
0000586, 0, 0.1171875, 0.4453125
0000586, 1, 0.1015625, 0.7265625
0000586, 2, 0.6328125, 0.4921875
0000587, 0, 0.5078125, 0.5078125
0000587, 0, 0.0859375, 0.7265625
0000587, 3, 0.6484375, 0.1015625
0000587, 7, 0.1015625, 0.4765625
0000590, 0, 0.3828125, 0.0078125
0000590, 3, 0.3515625, 0.7421875
0000590, 7, 0.6640625, 0.6796875
0000591, 0, 0.6796875, 0.1640625
0000591, 6, 0.7421875, 0.5390625
0000596, 0, 0.0546875, 0.6953125
0000596, 4, 0.0078125, 0.0078125
0000597, 0, 0.0078125, 0.3515625
0000597, 1, 0.6796875, 0.3203125
0000597, 1, 0.5546875, 0.7265625
0000597, 6, 0.3515625, 0.1171875
0000607, 0, 0.2109375, 0.6328125
0000607, 0, 0.6328125, 0.6328125
0000609, 0, 0.5078125, 0.2890625
0000609, 0, 0.7734375, 0.5078125
0000609, 2, 0.1015625, 0.3046875
0000609, 9, 0.3828125, 0.0234375
0000612, 0, 0.2109375, 0.2578125
0000612, 0, 0.5859375, 0.3046875
0000612, 2, 0.7734375, 0.6640625
0000612, 8, 0.1640625, 0.6015625
0000619, 0, 0.6328125, 0.7421875
0000619, 8, 0.3515625, 0.5703125
0000620, 0, 0.0859375, 0.0703125
0000620, 1, 0.6953125, 0.1171875
0000620, 5, 0.0859375, 0.7421875
0000620, 6, 0.3515625, 0.4921875
0000625, 0, 0.4609375, 0.1796875
